source,target,number of recipes,breakfast,brunch,lunch,dinner,dessert,ice cream,drink,vegan,vegetarian
cheese,olive,46,0,1,10,5,0,0,0,0,21
chicken,milk/cream,46,0,0,5,11,0,0,0,0,0
cilantro,mint,46,0,0,6,6,2,0,0,7,10
egg,parmesan,46,8,10,5,9,1,0,0,0,20
herb,olive,46,0,1,4,7,0,0,0,2,14
mint,yogurt,46,1,2,3,4,5,0,1,0,13
mustard,salad dressing,46,0,0,1,2,0,0,0,1,6
apple,onion,45,0,1,2,5,1,0,0,1,12
arugula,leafy green,45,3,3,7,6,0,0,1,8,21
bell pepper,cilantro,45,0,1,1,2,0,0,0,9,14
berry,cranberry,45,3,4,0,3,16,0,0,10,24
cabbage,carrot,45,0,0,4,5,0,0,0,11,26
cabbage,onion,45,0,0,6,6,0,0,0,7,18
cheese,cream cheese,45,2,3,1,3,27,0,0,0,29
chicken,pasta,45,0,0,6,10,0,0,0,0,0
coconut,ginger,45,1,0,3,6,6,0,1,4,6
fish,leafy green,45,1,1,7,12,0,0,0,0,0
garlic,mustard,45,0,0,0,5,0,0,0,1,3
lemon,mint,45,0,0,2,4,2,0,14,3,8
mint,tomato,45,1,1,7,4,0,0,0,11,22
olive,pasta,45,0,0,5,12,0,0,0,2,19
onion,rosemary,45,0,0,1,4,0,0,0,5,9
parsley,tomato,45,0,0,11,9,0,0,0,7,16
pasta,shrimp,45,0,0,3,3,0,0,0,0,0
poultry,tomato,45,0,0,6,18,0,0,0,0,0
rosemary,thyme,45,0,1,2,9,0,0,0,5,7
apple,milk/cream,44,5,4,3,2,23,0,1,0,21
bacon,garlic,44,1,1,0,8,0,0,0,0,0
berry,citrus,44,4,5,0,1,29,0,0,13,27
chocolate,walnut,44,2,2,0,0,39,0,0,1,23
fruit juice,lime,44,0,2,0,1,3,0,32,2,3
ginger,herb,44,0,0,0,7,0,0,0,4,10
leafy green,pasta,44,0,1,1,11,0,0,0,3,16
liqueur,milk/cream,44,0,0,0,1,34,0,12,0,20
arugula,tomato,43,3,3,9,3,0,0,0,3,14
basil,cheese,43,1,1,8,3,0,0,0,0,27
chocolate,hazelnut,43,1,1,0,0,41,0,0,1,20
fish,white wine,43,0,0,1,6,0,0,0,0,0
lamb,tomato,43,0,0,0,7,0,0,0,0,0
liqueur,orange,43,1,3,0,1,22,0,18,6,15
milk/cream,pork,43,2,3,7,13,0,0,0,0,0
capers,olive,42,0,0,1,6,0,0,0,7,8
chicken,olive,42,0,0,3,13,0,0,0,0,0
cream cheese,milk/cream,42,3,3,1,0,34,0,0,0,32
ginger,molasses,42,2,3,0,0,30,0,1,0,23
herb,yogurt,42,1,2,1,2,3,0,0,0,15
leafy green,vinegar,42,0,0,1,5,0,0,0,15,22
mint,parsley,42,0,0,9,10,0,0,0,10,22
mushroom,potato,42,1,2,2,10,0,0,0,4,21
onion,red wine,42,0,0,1,7,0,0,0,1,3
pasta,white wine,42,0,0,2,3,0,0,0,0,6
apple,walnut,41,4,3,3,0,19,0,0,4,24
bell pepper,eggplant,41,0,0,5,5,0,0,0,11,29
bell pepper,herb,41,2,1,2,4,0,0,0,8,15
bell pepper,olive,41,0,1,5,2,0,0,0,6,13
chicken,hot pepper,41,0,0,6,8,0,0,0,0,0
chocolate,raspberry,41,1,1,0,0,38,0,1,0,22
cinnamon,nutmeg,41,2,2,0,1,14,0,12,0,13
ginger,mushroom,41,0,0,3,9,0,0,0,6,9
honey,orange,41,0,0,0,1,21,0,4,0,16
onion,orange,41,0,0,2,7,0,0,0,3,8
bean,herb,40,0,2,6,5,0,0,0,4,13
bell pepper,chicken,40,0,0,4,11,0,0,0,0,0
bell pepper,jalapeno,40,0,0,1,3,0,0,0,3,9
cheese,feta,40,1,1,3,6,0,0,0,0,21
citrus,milk/cream,40,2,2,1,2,25,0,1,0,25
dill,salmon,40,5,5,2,6,0,0,0,0,0
egg,raspberry,40,1,1,0,0,37,0,0,0,22
fennel,tomato,40,0,0,4,9,0,0,0,1,6
fruit juice,liqueur,40,0,6,0,1,4,0,35,7,9
herb,white wine,40,0,0,0,8,0,0,0,0,3
leek,potato,40,1,0,6,7,0,0,0,1,10
mushroom,rice,40,0,0,4,11,0,0,0,3,13
red wine,tomato,40,0,0,0,8,0,0,0,0,1
almond,cherry,39,2,2,1,1,36,0,0,2,27
beef,bell pepper,39,1,0,4,8,0,0,0,0,0
beef,cheese,39,1,1,5,9,0,0,0,0,0
beef,ground beef,39,0,0,8,18,0,0,0,0,0
bell pepper,cheese,39,3,3,7,5,0,0,0,0,21
blue cheese,leafy green,39,0,1,9,3,0,0,0,0,15
cheddar,egg,39,18,21,8,2,0,0,0,0,20
cheese,spinach,39,2,2,7,10,0,0,0,0,19
chicken,curry,39,0,0,5,5,0,0,0,0,0
coffee,egg,39,0,0,0,0,38,0,0,0,29
corn,onion,39,0,0,2,3,0,0,0,8,12
corn,potato,39,0,0,6,8,0,0,0,2,6
cornmeal,egg,39,11,10,2,3,3,0,0,0,21
cream cheese,sour cream,39,0,1,2,0,30,0,0,0,26
cucumber,yogurt,39,0,0,5,4,0,0,0,0,13
egg,mushroom,39,9,14,7,6,0,0,0,0,15
egg,pecan,39,3,3,0,0,36,0,0,0,25
egg,rum,39,0,1,0,0,27,0,11,0,17
fruit juice,rum,39,1,1,0,0,4,0,34,2,3
mint,onion,39,1,1,4,1,0,0,0,12,20
pork,potato,39,0,1,5,8,0,0,0,0,0
apple,cranberry,38,2,3,0,0,17,0,3,2,13
bacon,cheese,38,2,4,11,4,0,0,0,0,0
berry,blackberry,38,2,0,0,1,33,0,2,6,22
berry,egg,38,0,0,0,0,34,0,0,0,22
capers,tomato,38,0,0,1,8,0,0,0,6,7
chicken,rice,38,0,0,0,5,0,0,0,0,0
chive,herb,38,7,6,6,5,0,0,0,4,19
chive,milk/cream,38,5,5,4,2,0,0,0,0,13
cilantro,parsley,38,0,0,8,8,0,0,0,7,10
herb,parmesan,38,1,1,6,4,0,0,0,0,11
herb,vinegar,38,1,1,0,4,0,0,0,1,4
leafy green,lettuce,38,0,2,14,9,0,0,0,7,13
mushroom,pork,38,0,1,1,9,0,0,0,0,0
onion,raisin,38,0,0,0,3,0,0,0,4,13
apple,egg,37,5,4,1,0,27,0,3,0,21
beef,mustard,37,0,0,2,10,0,0,0,0,0
beef,pasta,37,1,0,2,8,0,0,0,0,0
bell pepper,sausage,37,2,3,3,6,0,0,0,0,0
bell pepper,zucchini,37,0,0,4,4,0,0,0,8,21
brandy,milk/cream,37,0,0,0,1,11,0,16,0,10
bread,cheese,37,4,5,2,0,0,0,0,0,9
carrot,ginger,37,2,2,4,7,4,0,1,8,18
cheese,chicken,37,0,1,3,11,0,0,0,0,0
cheese,ricotta,37,5,4,6,9,6,0,0,0,19
cheese,sausage,37,5,8,8,8,0,0,0,0,1
cherry,chocolate,37,0,0,0,0,36,0,0,0,16
chicken,soy sauce,37,1,1,6,13,0,0,0,0,0
garlic,lime,37,0,0,0,4,0,0,0,0,3
garlic,red wine,37,0,0,0,11,0,0,0,0,1
ginger,shrimp,37,1,0,2,2,0,0,0,0,0
herb,rice,37,0,2,2,6,0,0,0,5,12
hot pepper,vinegar,37,0,0,0,2,0,0,0,6,8
mozzarella,parmesan,37,0,2,3,7,0,0,0,0,14
pasta,ricotta,37,0,0,1,12,0,0,0,0,18
pork,pork chop,37,0,0,2,22,0,0,0,0,0
potato,rosemary,37,0,0,3,8,0,0,0,7,18
scallop,shrimp,37,0,0,5,7,0,0,0,0,0
almond,raisin,36,1,1,0,2,13,0,0,10,23
apple,pork,36,0,0,3,13,0,0,0,0,0
bacon,egg,36,8,12,10,4,0,0,0,0,0
bass,fish,36,0,0,2,7,0,0,0,0,0
bean,cheese,36,2,3,8,8,0,0,0,0,20
beef,ginger,36,0,0,1,11,0,0,0,0,0
beef,veal,36,0,0,0,7,0,0,0,0,0
bell pepper,ginger,36,0,0,0,3,0,0,0,6,8
citrus,leafy green,36,0,0,6,3,0,0,0,5,17
dill,herb,36,2,3,1,6,0,0,0,4,13
egg,lime,36,0,0,0,0,32,0,2,0,23
feta,olive,36,0,0,4,4,0,0,0,0,17
fish,halibut,36,0,0,3,15,0,0,0,0,0
fish,tuna,36,0,0,7,5,0,0,0,0,0
lemon,pasta,36,0,0,3,14,0,0,0,3,13
lemon,tomato,36,0,1,3,7,0,0,1,3,8
mayonnaise,mustard,36,0,0,9,0,0,0,0,0,7
bacon,corn,35,1,2,3,2,0,0,0,0,0
basil,mint,35,0,0,3,2,2,0,1,9,14
bean,pork,35,0,1,4,7,0,0,0,0,0
carrot,parsnip,35,0,0,0,4,0,0,0,8,14
cheese,poultry,35,0,1,7,10,0,0,0,0,0
chicken,yogurt,35,0,0,6,8,0,0,0,0,0
citrus,poultry,35,0,0,3,6,0,0,0,0,0
citrus,tomato,35,0,0,1,7,0,0,0,3,6
coconut,milk/cream,35,1,0,0,0,31,0,0,0,23
egg,fish,35,6,6,2,2,0,0,0,0,0
fish,lime,35,0,0,0,5,0,0,0,0,0
fish,mayonnaise,35,0,0,9,3,0,0,0,0,1
fish,milk/cream,35,0,0,3,7,0,0,0,0,0
fruit juice,pineapple,35,4,5,0,2,2,0,30,5,7
leafy green,mushroom,35,0,0,5,8,0,0,0,1,10
lemon,mayonnaise,35,0,0,5,3,0,0,0,0,11
lime,rum,35,0,0,0,0,10,0,24,3,8
milk/cream,mint,35,0,0,3,3,16,0,2,0,19
milk/cream,mustard,35,0,0,2,4,0,0,0,0,4
parsley,potato,35,1,0,2,5,0,0,0,3,16
pepper,pork,35,4,4,3,8,0,0,0,0,0
potato,sweet potato/yam,35,2,2,2,5,0,0,0,6,22
bacon,pasta,34,0,0,0,10,0,0,0,0,0
basil,mozzarella,34,0,1,9,3,0,0,0,0,14
bean,pasta,34,0,0,6,10,0,0,0,5,18
bell pepper,potato,34,4,7,3,10,0,0,0,5,12
carrot,parsley,34,0,0,4,5,0,0,0,2,7
carrot,turnip,34,0,0,2,6,0,0,0,6,12
celery,chicken,34,0,0,6,4,0,0,0,0,0
cheddar,milk/cream,34,8,9,4,0,0,0,0,0,18
chocolate,coconut,34,1,1,0,0,33,0,0,1,22
chocolate,liqueur,34,0,0,0,0,30,0,5,0,14
cinnamon,orange,34,3,3,0,1,13,0,16,5,6
citrus,fruit juice,34,4,4,0,1,7,0,8,5,8
coconut,curry,34,0,0,4,7,1,0,0,3,7
cranberry,fruit juice,34,1,2,0,0,2,0,23,4,6
curry,ginger,34,0,0,2,9,1,0,0,2,7
fish,pepper,34,0,0,2,8,0,0,0,0,0
garlic,jalapeno,34,1,1,3,5,0,0,0,3,9
ginger,rice,34,0,0,1,5,2,0,0,4,13
goat cheese,leafy green,34,0,1,8,4,0,0,0,0,18
leafy green,parmesan,34,1,2,9,4,0,0,0,0,15
milk/cream,pecan,34,3,4,0,0,26,0,0,0,18
mussel,white wine,34,0,0,4,8,0,0,0,0,0
pork,pork tenderloin,34,0,0,2,13,0,0,0,0,0
almond,orange,33,2,1,1,2,25,0,2,3,15
avocado,cilantro,33,1,0,5,2,0,0,0,6,14
bacon,bean,33,0,0,2,7,0,0,0,0,0
bacon,chicken,33,0,0,4,9,0,0,0,0,0
basil,onion,33,1,1,4,2,0,0,0,2,6
bell pepper,vinegar,33,0,0,1,1,0,0,0,8,10
blackberry,raspberry,33,2,0,0,0,29,0,4,4,21
blueberry,lemon,33,3,4,0,0,29,0,0,4,28
bread,cheddar,33,7,7,1,1,0,0,0,0,12
chicken,thyme,33,0,0,3,8,0,0,0,0,0
cilantro,corn,33,0,0,1,3,0,0,0,8,10
cinnamon,lemon,33,5,4,0,0,19,0,10,4,12
citrus,ginger,33,1,2,0,2,9,0,1,3,11
clam,tomato,33,0,0,3,8,0,0,0,0,0
egg,ham,33,19,25,10,3,0,0,0,0,0
egg,raisin,33,6,7,0,0,26,0,0,0,21
egg,rice,33,3,3,3,4,4,0,0,0,12
garlic,mint,33,0,0,1,7,0,0,0,4,6
garlic,yogurt,33,0,0,1,5,0,0,0,0,6
honey,mustard,33,0,0,1,3,0,0,0,0,5
honey,walnut,33,2,2,0,0,26,0,0,0,20
lamb,mint,33,0,0,2,7,0,0,0,0,0
leafy green,olive,33,0,0,3,2,0,0,0,7,15
leek,milk/cream,33,0,0,5,8,0,0,0,0,3
leek,onion,33,0,0,0,3,0,0,0,5,9
lettuce,tomato,33,0,2,10,5,0,0,0,1,5
mayonnaise,onion,33,0,0,9,2,0,0,0,0,11
milk/cream,walnut,33,3,2,1,1,26,0,0,0,18
mozzarella,pasta,33,0,0,5,13,0,0,0,0,14
mushroom,poultry,33,0,0,3,12,0,0,0,0,0
mussel,tomato,33,0,0,2,10,0,0,0,0,0
parmesan,pine nut,33,0,0,2,5,0,0,0,0,14
almond,apricot,32,2,2,0,0,22,0,0,4,19
almond,honey,32,5,4,0,0,24,0,0,0,24
